,marka,seri,model,paket,yil,fiyat,sira,paket_label,seri_label
0,alfa-romeo,156,1.6-ts,distinctive,2005.0,11.239841854841753,1,1,1
1,alfa-romeo,159,1.9-jtd,distinctive-plus,2008.5,11.97021646139563,1,1,1
2,alfa-romeo,giulietta,1.4-tb,multiair-distinctive,2012.25,11.98183551638192,1,1,1
3,alfa-romeo,giulietta,1.6-jtd,distinctive,2012.0,11.993754864852562,1,1,2
4,alfa-romeo,giulietta,1.6-jtd,super-tct,2017.0,12.427218202181711,1,2,2
5,alfa-romeo,mito,1.4-t,distinctive,2009.0,11.54006386467122,1,1,1
6,audi,100-serisi,1.8,1,1983.0,10.221977646629885,1,1,1
7,audi,a1,1.4-tfsi,attraction,2011.5,12.186467086443518,1,1,1
8,audi,a1,1.4-tfsi,ambition,2011.0,12.37581963951765,1,2,1
9,audi,a1,1.6-tdi,attraction,2014.0,12.25486757159303,1,1,2
10,audi,a1,1.6-tdi,ambition,2013.0,12.283038316285214,1,2,2
11,audi,a1,1.6-tdi,sport,2015.0,12.367345048436391,1,3,2
12,audi,a3,a3-cabrio,1.4-tfsi,2014.0,12.682309930111785,1,1,1
13,audi,a3,a3-cabrio,1.5-tfsi,2018.0,13.091906231773164,1,2,1
14,audi,a3,a3-hatchback,1.6,2002.5,11.346771938512791,1,1,2
15,audi,a3,a3-hatchback,1.4-tfsi,2009.0,12.154784614286667,1,2,2
16,audi,a3,a3-hatchback,1.6-tdi,2013.0,12.396697137361691,1,3,2
17,audi,a3,a3-sedan,1.4-tfsi,2013.0,12.386312871189734,1,1,3
18,audi,a3,a3-sedan,1.6-tdi,2015.340425531915,12.560247968016562,1,2,3
19,audi,a3,a3-sedan,1.0-tfsi,2016.5,12.623724755430924,1,3,3
20,audi,a3,a3-sedan,30-tfsi,2019.0,12.779875885354993,1,4,3
21,audi,a3,a3-sedan,35-tfsi,2020.5555555555557,13.132315688453556,1,5,3
22,audi,a3,a3-sportback,1.6-fsi,2007.0,11.561487003227025,1,1,4
23,audi,a3,a3-sportback,1.6,2007.7,11.981096040988115,1,2,4
24,audi,a3,a3-sportback,1.4-tfsi,2010.875,12.127933870329514,1,3,4
25,audi,a3,a3-sportback,1.2-tfsi,2014.0,12.231245859917928,1,4,4
26,audi,a3,a3-sportback,1.6-tdi,2013.7837837837837,12.495007682693725,1,5,4
27,audi,a3,a3-sportback,1.0-tfsi,2017.3333333333333,12.570719231334277,1,6,4
28,audi,a3,a3-sportback,30-tdi,2019.0,12.807655372286902,1,7,4
29,audi,a3,a3-sportback,1.5-tfsi,2017.0,12.818554633046093,1,8,4
30,audi,a3,a3-sportback,35-tfsi,2020.125,12.871218227325528,1,9,4
31,audi,a3,a3-sportback,30-tfsi,2021.0,13.06685278163674,1,10,4
32,audi,a4,a4-avant,2.0-tfsi-quattro,2006.0,12.25486757159303,1,1,1
33,audi,a4,a4-avant,1.8-tfsi,2011.0,12.417147664184915,1,2,1
34,audi,a4,a4-sedan,2.0,2003.3333333333333,11.626263078808801,1,1,2
35,audi,a4,a4-sedan,1.6,2004.0,11.674962144338693,1,2,2
36,audi,a4,a4-sedan,1.8-t-quattro,2002.0,11.790564777297387,1,3,2
37,audi,a4,a4-sedan,1.8-t,2005.0,11.849098734702544,1,4,2
38,audi,a4,a4-sedan,1.8-tfsi,2010.1,12.21842389083755,1,5,2
39,audi,a4,a4-sedan,2.0-tfsi-quattro,2009.2,12.409017571151187,1,6,2
40,audi,a4,a4-sedan,2.0-tdi,2012.3870967741937,12.479913113434042,1,7,2
41,audi,a4,a4-sedan,1.4-tfsi-dynamic,2015.8333333333333,12.78392607933425,1,8,2
42,audi,a4,a4-sedan,2.0-tdi-quattro,2013.4,12.807655372286902,1,9,2
43,audi,a4,a4-sedan,1.4-tfsi,2016.0,12.855792879125431,1,10,2
44,audi,a4,a4-sedan,1.4-tfsi-design,2017.2,12.968631609821083,1,11,2
45,audi,a4,a4-sedan,1.4-tfsi-sport,2015.0,12.978495316450783,1,12,2
46,audi,a4,a4-sedan,2.0-tdi-dynamic,2016.75,12.988425942405609,1,13,2
47,audi,a4,a4-sedan,2.0-tdi-quattro-design,2016.0,12.994532278619134,1,14,2
48,audi,a4,a4-sedan,2.0-tdi-design,2016.5,13.086789278639326,1,15,2
49,audi,a4,a4-sedan,2.0-tdi-quattro-sport,2016.0,13.361381852676738,1,16,2
50,audi,a4,a4-sedan,40-tdi,2020.6666666666667,13.527829818844937,1,17,2
51,audi,a4,a4-sedan,45-tfsi,2020.0,13.573440270649085,1,18,2
52,audi,a5,a5-coupe,1.8-tfsi-s-line,2008.0,12.06105265381003,1,1,1
53,audi,a5,a5-coupe,1.8-tfsi,2009.0,12.352644989371798,1,2,1
54,audi,a5,a5-coupe,2.0-tdi,2013.0,12.84529412258351,1,3,1
55,audi,a5,a5-coupe,2.0-tdi-quattro,2016.0,13.343907249914384,1,4,1
56,audi,a5,a5-coupe,1.4-tfsi-sport,2018.0,13.396201563945448,1,5,1
57,audi,a5,a5-sportback,2.0-tfsi-quattro,2010.5,12.442794210164514,1,1,2
58,audi,a5,a5-sportback,2.0-tdi,2011.75,12.694733356445877,1,2,2
59,audi,a5,a5-sportback,2.0-tdi-quattro,2014.7142857142858,13.005831808336863,1,3,2
60,audi,a5,a5-sportback,1.4-tfsi-sport,2017.3333333333333,13.377007146164305,1,4,2
61,audi,a5,a5-sportback,40-tdi,2019.5,13.729998851037054,1,5,2
62,audi,a5,a5-sportback,45-tfsi,2020.0,13.955273369904273,1,6,2
63,audi,a6,a6-allroad-quattro,2.5-tdi,2001.0,11.782960235741939,1,1,1
64,audi,a6,a6-avant,3.0-tdi-quattro,2005.0,12.644330802262578,1,1,2
65,audi,a6,a6-avant,2.0-tdi-quattro,2016.0,13.304686600863562,1,2,2
66,audi,a6,a6-sedan,2.5-tdi,1995.0,10.968215530759236,1,1,3
67,audi,a6,a6-sedan,1.8-t,2002.5,11.581738557517475,1,2,3
68,audi,a6,a6-sedan,2.8,1998.0,11.608244735642321,1,3,3
69,audi,a6,a6-sedan,2.0-tdi,2011.6904761904761,12.807655372286902,1,4,3
70,audi,a6,a6-sedan,3.0-tdi-quattro,2011.2857142857142,12.829336379587506,1,5,3
71,audi,a6,a6-sedan,2.0-tdi-limousine,2013.5,13.068500503209286,1,6,3
72,audi,a6,a6-sedan,2.0-tfsi-quattro,2017.3333333333333,13.465954500233115,1,7,3
73,audi,a6,a6-sedan,2.0-tdi-quattro,2016.6923076923076,13.487007879880162,1,8,3
74,audi,a6,a6-sedan,40-tdi,2020.0,14.104379471646553,1,9,3
75,audi,a7,2.0-tfsi,1,2016.0,13.652404397256468,1,1,1
76,audi,a7,3.0-tdi,1,2012.3333333333333,13.318234016917728,1,1,2
77,audi,a7,40-tdi,1,2019.0,14.38082493519599,1,1,3
78,audi,a8,2.0-tfsi-quattro,1,2016.0,14.508658238524095,1,1,1
79,audi,a8,3.0-tdi,quattro,2009.0,12.657151449598695,1,1,2
80,audi,a8,3.0-tdi,quattro-long,2014.0,13.910821646859095,1,2,2
81,audi,a8,4.2,quattro-long,2000.0,11.736077016252437,1,1,3
82,audi,a8,50-tdi,quattro-long,2020.0,14.962913328262083,1,1,4
83,audi,r8,4.2-fsi,quattro-r-tronic,2008.0,14.065898989798988,1,1,1
84,audi,s-serisi,s3,2.0-tfsi-quattro,2016.0,13.30641980289068,1,1,1
85,audi,s-serisi,s5,4.2-fsi-quattro,2009.0,13.091906231773164,1,1,2
86,audi,s-serisi,s7,4.0-tfsi-quattro,2013.0,13.989464705423494,1,1,3
87,audi,tt,2.0,tfsi-quattro,2009.0,12.721888795877375,1,1,1
88,bentley,continental,gt-speed,1,2012.0,14.654920677467821,1,1,1
89,bmw,1-serisi,116d,joy-plus,2015.5,12.494305825095816,1,1,1
90,bmw,1-serisi,116d,joy,2015.75,12.511638001917525,1,2,1
91,bmw,1-serisi,116d,one-edition,2016.0,12.636233618255941,1,3,1
92,bmw,1-serisi,116d,premium-line,2017.0,12.660331092405906,1,4,1
93,bmw,1-serisi,116d,m-plus,2015.5,12.680551514274015,1,5,1
94,bmw,1-serisi,116d,m-sport,2016.5,12.78593404958582,1,6,1
95,bmw,1-serisi,116d,first-edition-m-sport,2020.0,13.100351597979397,1,7,1
96,bmw,1-serisi,116d-ed,efficientdynamics,2013.7142857142858,12.25486757159303,1,1,2
97,bmw,1-serisi,116i,standart,2008.0,11.839966907582609,1,1,3
98,bmw,1-serisi,116i,premium,2010.875,12.147986568476469,1,2,3
99,bmw,1-serisi,116i,urban-line,2012.0,12.25486757159303,1,3,3
100,bmw,1-serisi,116i,sport-line,2012.0,12.29452230579281,1,4,3
101,bmw,1-serisi,116i,comfort,2013.2857142857142,12.323860125621126,1,5,3
102,bmw,1-serisi,116i,m-sport,2012.8333333333333,12.329385019294502,1,6,3
103,bmw,1-serisi,116i,joy-edition,2012.5,12.338579535662143,1,7,3
104,bmw,1-serisi,118i,standart,2007.0,11.852456717781493,1,1,4
105,bmw,1-serisi,118i,joy-plus,2015.5,12.500316806267788,1,2,4
106,bmw,1-serisi,118i,m-plus,2014.6666666666667,12.6410997921206,1,3,4
107,bmw,1-serisi,118i,m-sport,2017.0,12.791080452981857,1,4,4
108,bmw,1-serisi,118i,first-edition-m-sport,2019.0,13.034626646500051,1,5,4
109,bmw,1-serisi,120d,1,2005.0,11.884495917930655,1,1,5
110,bmw,1-serisi,120i,standart,2009.0,12.388398368982115,1,1,6
111,bmw,1-serisi,120i,m-plus,2015.0,12.73080413304066,1,2,6
112,bmw,2-serisi,216d-gran-coupe,first-edition-sport-line,2020.0,13.02805489573287,1,1,1
113,bmw,2-serisi,216d-gran-coupe,first-edition-m-sport,2020.0,13.185240858362224,1,2,1
114,bmw,2-serisi,218i,techno,2015.0,12.791080452981857,1,1,2
115,bmw,2-serisi,218i,m-sport,2015.0,12.834683971615659,1,2,2
116,bmw,2-serisi,218i-active-tourer,sport-line,2015.0,12.537176929007302,1,1,3
117,bmw,2-serisi,218i-gran-coupe,first-edition-m-sport,2020.0,13.1421679654829,1,1,4
118,bmw,2-serisi,220d,m-sport,2014.0,12.660331092405906,1,1,5
119,bmw,2-serisi,220d,standart,2014.0,13.049794835104816,1,2,5
120,bmw,3-serisi,316,1,1985.0,10.859018228147887,1,1,1
121,bmw,3-serisi,316ci,1,1994.0,11.270866642542865,1,1,2
122,bmw,3-serisi,316i,standart,2002.6666666666667,11.711784520403112,1,1,3
123,bmw,3-serisi,316i,premium,2007.3333333333333,12.00762780434872,1,2,3
124,bmw,3-serisi,316i,sport,2011.0,12.245298166364206,1,3,3
